DATE_RESERVATION;PLAGE_HORAIRE;STATUT;STRUCTURE;NOM_COMPLET;FONCTION;DATE_CREATION;PONT_SITE
2022-02-01;JOUR;VALIDE;coic sa;2022-02-01;GESTIONNAIRE DE STOCKS;2021-12-06 15:12:06;COIC
2022-02-01;JOUR;VALIDE;CARGILL COCOA;2022-02-01;SUPERVISEUR OPÃRATIONS SHIPPING;2021-12-22 15:10:46;CARGILL COCOA YOP
2022-02-01;JOUR;ANNULE;CARGILL COCOA;2022-02-01;SUPERVISEUR OPÃRATIONS SHIPPING;2021-12-22 15:10:48;CARGILL COCOA YOP
2022-02-01;JOUR;VALIDE;SOGENA;2022-02-01;SUPERVISEUR;2022-01-03 15:17:18;SOGENA EX-CAISTAB
2022-02-01;JOUR;VALIDE;PROLINE LOGISTIC;2022-02-01;RESPONSABLE PESEUR;2022-01-07 16:02:26;R et R
2022-02-01;JOUR;VALIDE;DUVICK;2022-02-01;DIRECTEUR DES OPÃRATIONS PHYSIQUE;2022-01-12 14:04:42;DUVICK
2022-02-01;JOUR;VALIDE;OLAM;2022-02-01;coordinateur pesage;2022-01-13 11:37:03;USINE UNICAO PONT02
2022-02-01;JOUR;VALIDE;CTM;2022-02-01;DGA;2022-01-17 11:28:54;CTM
2022-02-01;JOUR;VALIDE;ITCA;2022-02-01;RESPONSABLE PRODUITS FINIS;2022-01-17 15:50:33;ITCA
2022-02-01;JOUR;ANNULE;ITCA;2022-02-01;RESPONSABLE PRODUITS FINIS;2022-01-17 15:50:39;ITCA
2022-02-01;JOUR;VALIDE;MANTRA;2022-02-01;AGENT LOGISTICS;2022-01-27 11:58:16;MANTRA
2022-02-01;JOUR;VALIDE;APM TERMINAL;2022-02-01;RESPONSABLE PONT BASCULE;2022-01-27 15:24:28;APM TERMINAL
2022-02-01;JOUR;VALIDE;MOVIS;2022-02-01;RESPONSABLE PT BASCULE;2022-01-27 15:55:58;CFS 4 VRIDI
2022-02-01;JOUR;VALIDE;SACO;2022-02-01;AGENT LOGISTIQUE;2022-01-28 09:31:08;SACO ABIDJAN
2022-02-01;JOUR;VALIDE;;2022-02-01;RESPONSABLE LOGISTIQUE;2022-01-28 12:23:33;STNC
2022-02-01;JOUR;VALIDE;MEDLOG;2022-02-01;responsable pont bascule;2022-01-28 15:21:48;MEDLOG
2022-02-01;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-01;AGENT;2022-01-31 07:14:47;COTON RAN
2022-02-01;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-01;AGENT;2022-01-31 07:15:02;T6
2022-02-01;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-01;AGENT;2022-01-31 07:15:17;VRIDI 3 PONT 1
2022-02-01;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-01;AGENT;2022-01-31 07:15:28;VRIDI 3 PONT 2
2022-02-01;JOUR;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-01;AGENT ADMINISTRATIF;2022-01-31 12:26:15;VRIDI 2 STATION VRAC
2022-02-01;JOUR;VALIDE;TRCI;2022-02-01;RESP PRODUIT FINI;2022-01-31 13:10:23;TRCI ANGUEDEDOU
2022-02-01;JOUR;VALIDE;SEAFEM;2022-02-01;DIRECTEUR GENERAL;2022-01-31 13:54:54;SEAFEM
2022-02-01;JOUR;VALIDE;logtrans;2022-02-01;PESEUR;2022-01-31 14:32:42;LOGTRANS
2022-02-01;JOUR;VALIDE;GMCI;2022-02-01;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-01-31 14:39:53;GMCI GARE DU MALI
2022-02-01;JOUR;VALIDE;GMCI;2022-02-01;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-01-31 14:40:00;GMCI GESTOCI
2022-02-01;JOUR;VALIDE;GMCI;2022-02-01;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-01-31 14:40:09;GMCI HINO
2022-02-01;JOUR;VALIDE;MANTRA;2022-02-01;AGENT LOGISTICS;2022-01-31 14:53:45;YIRIMA
2022-02-01;NUIT;VALIDE;CCI - COTE DIVOIRE;2022-02-01;CHEF DE SERVICE METROLOGIE;2021-12-03 11:15:29;CCI-CI PONT N2
2022-02-01;NUIT;VALIDE;PROLINE LOGISTIC;2022-02-01;RESPONSABLE PESEUR;2022-01-07 16:02:31;R et R
2022-02-01;NUIT;REJETE;MANTRA;2022-02-01;AGENT LOGISTICS;2022-01-27 11:57:35;MANTRA
2022-02-01;NUIT;VALIDE;APM TERMINAL;2022-02-01;RESPONSABLE PONT BASCULE;2022-01-27 15:24:37;APM TERMINAL
2022-02-01;NUIT;ANNULE;BOLLORE TRANSPORT & LOGISTICS;2022-02-01;AGENT ADMINISTRATIF;2022-01-31 12:26:25;VRIDI 2 STATION VRAC
2022-02-01;NUIT;VALIDE;SEAFEM;2022-02-01;DIRECTEUR GENERAL;2022-01-31 13:55:10;SEAFEM
2022-02-01;NUIT;VALIDE;ZAMACOM;2022-02-01;RESPONSABLE TRANSIT ;2022-01-31 16:17:36;ZAMACOM PONT 1
2022-02-01;NUIT;VALIDE;coic sa;2022-02-01;GESTIONNAIRE DE STOCKS;2022-02-01 09:34:57;COIC
2022-02-01;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-01;AGENT;2022-02-01 09:57:52;T6
2022-02-01;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-01;AGENT;2022-02-01 09:58:01;VRIDI 3 PONT 1
2022-02-01;NUIT;VALIDE;BOLLORE TRANSPORT & LOGISTICS;2022-02-01;AGENT;2022-02-01 09:58:15;VRIDI 3 PONT 2
2022-02-01;NUIT;ANNULE;SACO;2022-02-01;AGENT LOGISTIQUE;2022-02-01 11:34:05;SACO ABIDJAN
2022-02-01;NUIT;ANNULE;SACO;2022-02-01;AGENT LOGISTIQUE;2022-02-01 11:34:08;SACO ABIDJAN
2022-02-01;NUIT;VALIDE;SACO;2022-02-01;AGENT LOGISTIQUE;2022-02-01 11:34:11;SACO ABIDJAN
2022-02-01;NUIT;VALIDE;FARLIN COMMODITIES;2022-02-01;SELVA SIR;2022-02-01 12:43:25;FARLIN
2022-02-01;NUIT;VALIDE;MOVIS;2022-02-01;RESPONSABLE PT BASCULE;2022-02-01 14:16:20;CFS 4 VRIDI
2022-02-01;NUIT;ANNULE;MOVIS;2022-02-01;RESPONSABLE PT BASCULE;2022-02-01 14:16:22;CFS 4 VRIDI
2022-02-01;NUIT;VALIDE;DUVICK;2022-02-01;RESPONSABLES / VICE ;2022-02-01 14:30:17;DUVICK
2022-02-01;NUIT;VALIDE;SOGENA;2022-02-01;SUPERVISEUR;2022-02-01 14:47:15;SOGENA
2022-02-01;NUIT;VALIDE;GMCI;2022-02-01;ASSISTANT RESPONSABLE TRANSIT EXPORT;2022-02-01 14:48:29;GMCI HINO
2022-02-01;NUIT;VALIDE;MANTRA;2022-02-01;AGENT LOGISTICS;2022-02-01 14:50:48;YIRIMA
2022-02-01;NUIT;VALIDE;logtrans;2022-02-01;PESEUR;2022-02-01 15:16:14;LOGTRANS
2022-02-02;JOUR;VALIDE;coic sa;2022-02-02;GESTIONNAIRE DE STOCKS;2021-12-06 15:12:20;COIC
2022-02-02;JOUR;VALIDE;SOGENA;2022-02-02;SUPERVISEUR;2022-01-03 15:17:32;SOGENA EX-CAISTAB
